Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt,c/t
,400x150x14.2 RHS,,R,UK,Steel,-,115,400,150,14.2,14.2,,,25.2,7.56,,,,1.06,9.25,27100,5550,13.6,6.16,1360,740,1760,859,,,,15300,146,,,,,,,,,,,,,,,1310,
,400x150x16 RHS,,R,UK,Steel,-,128,400,150,16,16,,,22,6.38,,,,1.06,8.28,29800,6040,13.5,6.09,1490,805,1950,947,,,,16800,163,,,,,,,,,,,,,,,1430,
,400x200x6.3 RHS,,R,UK,Steel,-,57.8,400,200,6.3,6.3,,,60.5,28.7,,,,1.18,20.4,15700,5380,14.6,8.55,785,538,960,594,,,,12600,73.6,,,,,,,,,,,,,,,917,
,400x200x7.1 RHS,,R,UK,Steel,-,64.9,400,200,7.1,7.1,,,53.3,25.2,,,,1.18,18.2,17500,5990,14.6,8.51,877,599,1080,665,,,,14100,82.6,,,,,,,,,,,,,,,1020,
,400x200x8 RHS,,R,UK,Steel,-,72.8,400,200,8,8,,,47,22,,,,1.18,16.2,19600,6660,14.5,8.47,978,666,1200,743,,,,15700,92.8,,,,,,,,,,,,,,,1140,
,400x200x8.8 RHS,,R,UK,Steel,-,79.8,400,200,8.8,8.8,,,42.5,19.7,,,,1.18,14.8,21300,7240,14.5,8.44,1070,724,1320,811,,,,17200,102,,,,,,,,,,,,,,,1230,
,400x200x10 RHS,,R,UK,Steel,-,90.2,400,200,10,10,,,37,17,,,,1.17,13,23900,8080,14.4,8.39,1200,808,1480,911,,,,19300,115,,,,,,,,,,,,,,,1380,
,400x200x12.5 RHS,,R,UK,Steel,-,112,400,200,12.5,12.5,,,29,13,,,,1.17,10.5,29100,9740,14.3,8.28,1450,974,1810,1110,,,,23400,142,,,,,,,,,,,,,,,1660,
,400x200x14.2 RHS,,R,UK,Steel,-,126,400,200,14.2,14.2,,,25.2,11.1,,,,1.16,9.22,32400,10800,14.2,8.21,1620,1080,2030,1240,,,,26100,160,,,,,,,,,,,,,,,1830,
,400x200x16 RHS,,R,UK,Steel,-,141,400,200,16,16,,,22,9.5,,,,1.16,8.26,35700,11800,14.1,8.13,1790,1180,2260,1370,,,,28900,179,,,,,,,,,,,,,,,2010,
,400x300x8 RHS,,R,UK,Steel,-,85.4,400,300,8,8,,,47,34.5,,,,1.38,16.1,25700,16500,15.4,12.3,1290,1100,1520,1250,,,,31000,109,,,,,,,,,,,,,,,1750,
,400x300x8.8 RHS,,R,UK,Steel,-,93.6,400,300,8.8,8.8,,,42.5,31.1,,,,1.38,14.8,28100,18000,15.3,12.3,1400,1200,1660,1360,,,,33900,119,,,,,,,,,,,,,,,1910,
,400x300x10 RHS,,R,UK,Steel,-,106,400,300,10,10,,,37,27,,,,1.37,12.9,31500,20200,15.3,12.2,1580,1350,1870,1540,,,,38200,135,,,,,,,,,,,,,,,2140,
,400x300x12.5 RHS,,R,UK,Steel,-,131,400,300,12.5,12.5,,,29,21,,,,1.37,10.4,38500,24600,15.2,12.1,1920,1640,2300,1880,,,,46800,167,,,,,,,,,,,,,,,2590,
,400x300x14.2 RHS,,R,UK,Steel,-,148,400,300,14.2,14.2,,,25.2,18.1,,,,1.36,9.19,43000,27400,15.1,12.1,2150,1830,2580,2110,,,,52500,189,,,,,,,,,,,,,,,2890,
,400x300x16 RHS,,R,UK,Steel,-,166,400,300,16,16,,,22,15.8,,,,1.36,8.21,47500,30300,15,12,2380,2020,2870,2350,,,,58300,211,,,,,,,,,,,,,,,3180,
,450x250x8 RHS,,R,UK,Steel,-,85.4,450,250,8,8,,,53.3,28.3,,,,1.38,16.1,30100,12100,16.6,10.6,1340,971,1620,1080,,,,27100,109,,,,,,,,,,,,,,,1630,
,450x250x8.8 RHS,,R,UK,Steel,-,93.6,450,250,8.8,8.8,,,48.1,25.4,,,,1.38,14.8,32800,13200,16.6,10.5,1460,1060,1770,1180,,,,29600,119,,,,,,,,,,,,,,,1770,
,450x250x10 RHS,,R,UK,Steel,-,106,450,250,10,10,,,42,22,,,,1.37,12.9,36900,14800,16.5,10.5,1640,1190,2000,1330,,,,33300,135,,,,,,,,,,,,,,,1990,
,450x250x12.5 RHS,,R,UK,Steel,-,131,450,250,12.5,12.5,,,33,17,,,,1.37,10.4,45000,18000,16.4,10.4,2000,1440,2460,1630,,,,40700,167,,,,,,,,,,,,,,,2410,
,450x250x14.2 RHS,,R,UK,Steel,-,148,450,250,14.2,14.2,,,28.7,14.6,,,,1.36,9.19,50300,20000,16.3,10.3,2240,1600,2760,1830,,,,45600,189,,,,,,,,,,,,,,,2680,
,450x250x16 RHS,,R,UK,Steel,-,166,450,250,16,16,,,25.1,12.6,,,,1.36,8.21,55700,22000,16.2,10.2,2480,1760,3070,2030,,,,50500,211,,,,,,,,,,,,,,,2950,
,500x200x8 RHS,,R,UK,Steel,-,85.4,500,200,8,8,,,59.5,22,,,,1.38,16.1,34000,8140,17.7,8.65,1360,814,1710,896,,,,21100,109,,,,,,,,,,,,,,,1430,
,500x200x8.8 RHS,,R,UK,Steel,-,93.6,500,200,8.8,8.8,,,53.8,19.7,,,,1.38,14.8,37200,8850,17.7,8.61,1490,885,1870,979,,,,23000,119,,,,,,,,,,,,,,,1560,
,500x200x10 RHS,,R,UK,Steel,-,106,500,200,10,10,,,47,17,,,,1.37,12.9,41800,9890,17.6,8.56,1670,989,2110,1100,,,,25900,135,,,,,,,,,,,,,,,1740,
,500x200x12.5 RHS,,R,UK,Steel,-,131,500,200,12.5,12.5,,,37,13,,,,1.37,10.4,51000,11900,17.5,8.45,2040,1190,2590,1350,,,,31500,167,,,,,,,,,,,,,,,2100,
,500x200x14.2 RHS,,R,UK,Steel,-,148,500,200,14.2,14.2,,,32.2,11.1,,,,1.36,9.19,56900,13200,17.4,8.38,2280,1320,2900,1510,,,,35200,189,,,,,,,,,,,,,,,2320,
,500x200x16 RHS,,R,UK,Steel,-,166,500,200,16,16,,,28.3,9.5,,,,1.36,8.21,63000,14500,17.3,8.3,2520,1450,3230,1670,,,,38900,211,,,,,,,,,,,,,,,2550,
,500x300x8 RHS,,R,UK,Steel,-,97.9,500,300,8,8,,,59.5,34.5,,,,1.58,16.1,43700,20000,18.7,12.6,1750,1330,2100,1480,,,,42600,125,,,,,,,,,,,,,,,2200,
,500x300x8.8 RHS,,R,UK,Steel,-,107,500,300,8.8,8.8,,,53.8,31.1,,,,1.58,14.7,47800,21800,18.7,12.6,1910,1450,2300,1620,,,,46600,137,,,,,,,,,,,,,,,2400,
,500x300x10 RHS,,R,UK,Steel,-,122,500,300,10,10,,,47,27,,,,1.57,12.9,53800,24400,18.6,12.6,2150,1630,2600,1830,,,,52500,155,,,,,,,,,,,,,,,2700,
,500x300x12.5 RHS,,R,UK,Steel,-,151,500,300,12.5,12.5,,,37,21,,,,1.57,10.4,65800,29800,18.5,12.5,2630,1990,3200,2240,,,,64400,192,,,,,,,,,,,,,,,3280,
,500x300x14.2 RHS,,R,UK,Steel,-,170,500,300,14.2,14.2,,,32.2,18.1,,,,1.56,9.16,73700,33200,18.4,12.4,2950,2220,3590,2520,,,,72200,217,,,,,,,,,,,,,,,3660,
,500x300x16 RHS,,R,UK,Steel,-,191,500,300,16,16,,,28.3,15.8,,,,1.56,8.17,81800,36800,18.3,12.3,3270,2450,4010,2800,,,,80300,243,,,,,,,,,,,,,,,4040,
,500x300x20 RHS,,R,UK,Steel,-,235,500,300,20,20,,,22,12,,,,1.55,6.59,98800,44100,18.2,12.1,3950,2940,4890,3410,,,,97400,300,,,,,,,,,,,,,,,4840,
,HE 100 A,,H,EU,Steel,-,16.7,96,100,5,8,12,,,,,,,,,349.2,133.8,4.06,2.51,72.76,26.76,83.01,41.14,,,2580,5.24,21.24,,,,,,,,,,,,,,,,
,HE 120 A,,H,EU,Steel,-,19.9,114,120,5,8,12,,,,,,,,,606.2,230.9,4.89,3.02,106.3,38.48,119.5,58.85,,,6470,5.99,25.34,,,,,,,,,,,,,,,,
,HE 140 A,,H,EU,Steel,-,24.7,133,140,5.5,8.5,12,,,,,,,,,1033,389.3,5.73,3.52,155.4,55.62,173.5,84.85,,,15060,8.13,31.42,,,,,,,,,,,,,,,,
,HE 160 A,,H,EU,Steel,-,30.4,152,160,6,9,15,,,,,,,,,1673,615.6,6.57,3.98,220.1,76.95,245.1,117.6,,,31410,12.19,38.77,,,,,,,,,,,,,,,,
,HE 180 A,,H,EU,Steel,-,36,171,180,6,9.5,15,,,,,,,,,2510,924.6,7.45,4.52,293.6,102.7,324.9,156.5,,,60210,14.8,45.25,,,,,,,,,,,,,,,,
,HE 200 A,,H,EU,Steel,-,42.3,190,200,6.5,10,18,,,,,,,,,3692,1336,8.28,4.98,388.6,133.6,429.5,203.8,,,108000,20.98,53.83,,,,,,,,,,,,,,,,
,HE 220 A,,H,EU,Steel,-,50.5,210,220,7,11,18,,,,,,,,,5410,1955,9.17,5.51,515.2,177.7,568.5,270.6,,,193300,28.46,64.34,,,,,,,,,,,,,,,,
,HE 240 A,,H,EU,Steel,-,60.3,230,240,7.5,12,21,,,,,,,,,7763,2769,10.05,6,675.1,230.7,744.6,351.7,,,328500,41.55,76.84,,,,,,,,,,,,,,,,
,HE 260 A,,H,EU,Steel,-,68.2,250,260,7.5,12.5,24,,,,,,,,,10450,3668,10.97,6.5,836.4,282.1,919.8,430.2,,,516400,52.37,86.82,,,,,,,,,,,,,,,,
,HE 280 A,,H,EU,Steel,-,76.4,270,280,8,13,24,,,,,,,,,13670,4763,11.86,7,1013,340.2,1112,518.1,,,785400,62.1,97.26,,,,,,,,,,,,,,,,
,HE 300 A,,H,EU,Steel,-,88.3,290,300,8.5,14,27,,,,,,,,,18260,6310,12.74,7.49,1260,420.6,1383,641.2,,,1200000,85.17,112.5,,,,,,,,,,,,,,,,
,HE 320 A,,H,EU,Steel,-,97.6,310,300,9,15.5,27,,,,,,,,,22930,6985,13.58,7.49,1479,465.7,1628,709.7,,,1512000,108,124.4,,,,,,,,,,,,,,,,
,HE 340 A,,H,EU,Steel,-,105,330,300,9.5,16.5,27,,,,,,,,,27690,7436,14.4,7.46,1678,495.7,1850,755.9,,,1824000,127.2,133.5,,,,,,,,,,,,,,,,
,HE 360 A,,H,EU,Steel,-,112,350,300,10,17.5,27,,,,,,,,,33090,7887,15.22,7.43,1891,525.8,2088,802.3,,,2177000,148.8,142.8,,,,,,,,,,,,,,,,
,HE 400 A,,H,EU,Steel,-,125,390,300,11,19,27,,,,,,,,,45070,8564,16.84,7.34,2311,570.9,2562,872.9,,,2942000,189,159,,,,,,,,,,,,,,,,
,HE 450 A,,H,EU,Steel,-,140,440,300,11.5,21,27,,,,,,,,,63720,9465,18.92,7.29,2896,631,3216,965.5,,,4148000,243.8,178,,,,,,,,,,,,,,,,
,HE 500 A,,H,EU,Steel,-,155,490,300,12,23,27,,,,,,,,,86970,10370,20.98,7.24,3550,691.1,3949,1059,,,5643000,309.3,197.5,,,,,,,,,,,,,,,,
,HE 550 A,,H,EU,Steel,-,166,540,300,12.5,24,27,,,,,,,,,111900,10820,22.99,7.15,4146,721.3,4622,1107,,,7189000,351.5,211.8,,,,,,,,,,,,,,,,
,HE 600 A,,H,EU,Steel,-,178,590,300,13,25,27,,,,,,,,,141200,11270,24.97,7.05,4787,751.4,5350,1156,,,8978000,397.8,226.5,,,,,,,,,,,,,,,,
,HE 650 A,,H,EU,Steel,-,190,640,300,13.5,26,27,,,,,,,,,175200,11720,26.93,6.97,5474,781.6,6136,1205,,,11030000,448.3,241.6,,,,,,,,,,,,,,,,
,HE 700 A,,H,EU,Steel,-,204,690,300,14.5,27,27,,,,,,,,,215300,12180,28.75,6.84,6241,811.9,7032,1257,,,13350000,513.9,260.5,,,,,,,,,,,,,,,,
,HE 800 A,,H,EU,Steel,-,224,790,300,15,28,30,,,,,,,,,303400,12640,32.58,6.65,7682,842.6,8699,1312,,,18290000,596.9,285.8,,,,,,,,,,,,,,,,
,HE 900 A,,H,EU,Steel,-,252,890,300,16,30,30,,,,,,,,,422100,13550,36.29,6.5,9485,903.2,10810,1414,,,24960000,736.8,320.5,,,,,,,,,,,,,,,,
,HE 1000 A,,H,EU,Steel,-,272,990,300,16.5,31,30,,,,,,,,,553800,14000,39.96,6.35,11190,933.6,12820,1470,,,32070000,822.4,346.8,,,,,,,,,,,,,,,,
,HE 100 M,,H,EU,Steel,-,41.8,120,106,12,20,12,,,,,,,,,1143,399.2,4.63,2.74,190.4,75.31,235.8,116.3,,,9930,68.21,53.24,,,,,,,,,,,,,,,,
,HE120 M,,H,EU,Steel,-,52.1,140,126,12.5,21,12,,,,,,,,,2018,702.8,5.51,3.25,288.2,111.6,350.6,171.6,,,24790,91.66,66.41,,,,,,,,,,,,,,,,
,HE 140 M,,H,EU,Steel,-,63.2,160,146,13,22,12,,,,,,,,,3291,1144,6.39,3.77,411.4,156.8,493.8,240.5,,,54330,120,80.56,,,,,,,,,,,,,,,,
,HE 160 M,,H,EU,Steel,-,76.2,180,166,14,23,15,,,,,,,,,5098,1759,7.25,4.26,566.5,211.9,674.6,325.5,,,108100,162.4,97.05,,,,,,,,,,,,,,,,
,HE 180 M,,H,EU,Steel,-,88.9,200,186,14.5,24,15,,,,,,,,,7483,2580,8.13,4.77,748.3,277.4,883.4,425.2,,,199300,203.3,113.3,,,,,,,,,,,,,,,,
,HE 200 M,,H,EU,Steel,-,103,220,206,15,25,18,,,,,,,,,10640,3651,9,5.27,967.4,354.5,1135,543.2,,,346300,259.4,131.3,,,,,,,,,,,,,,,,
,HE 220 M,,H,EU,Steel,-,117,240,226,15.5,26,18,,,,,,,,,14600,5012,9.89,5.79,1217,443.5,1419,678.6,,,572700,315.3,149.4,,,,,,,,,,,,,,,,
,HE 240 M,,H,EU,Steel,-,157,270,248,18,32,21,,,,,,,,,24290,8153,11.03,6.39,1799,657.5,2117,1006,,,1152000,627.9,199.6,,,,,,,,,,,,,,,,
,HE 260 M,,H,EU,Steel,-,172,290,268,18,32.5,24,,,,,,,,,31310,10450,11.94,6.9,2159,779.7,2524,1192,,,1728000,719,219.6,,,,,,,,,,,,,,,,
,HE 280 M,,H,EU,Steel,-,189,310,288,18.5,33,24,,,,,,,,,39550,13160,12.83,7.4,2551,914.1,2966,1397,,,2520000,807.3,240.2,,,,,,,,,,,,,,,,
,HE 300 M,,H,EU,Steel,-,238,340,310,21,39,27,,,,,,,,,59200,19400,13.98,8,3482,1252,4078,1913,,,4386000,1408,303.1,,,,,,,,,,,,,,,,
,HE 320 M,,H,EU,Steel,-,245,359,309,21,40,27,,,,,,,,,68130,19710,14.78,7.95,3796,1276,4435,1951,,,5004000,1501,312,,,,,,,,,,,,,,,,
,HE 340 M,,H,EU,Steel,-,248,377,309,21,40,27,,,,,,,,,76370,19710,15.55,7.9,4052,1276,4718,1953,,,5584000,1506,315.8,,,,,,,,,,,,,,,,
,HE 360 M,,H,EU,Steel,-,250,395,308,21,40,27,,,,,,,,,84870,19520,16.32,7.83,4297,1268,4989,1942,,,6137000,1507,318.8,,,,,,,,,,,,,,,,
,HE 400 M,,H,EU,Steel,-,256,432,307,21,40,27,,,,,,,,,104100,19340,17.88,7.7,4820,1260,5571,1934,,,7410000,1515,325.8,,,,,,,,,,,,,,,,
,HE 450 M,,H,EU,Steel,-,263,478,307,21,40,27,,,,,,,,,131500,19340,19.8,7.59,5501,1260,6331,1939,,,9251000,1529,335.4,,,,,,,,,,,,,,,,
,HE 500 M,,H,EU,Steel,-,270,524,306,21,40,27,,,,,,,,,161900,19150,21.69,7.46,6180,1252,7094,1932,,,11190000,1539,344.3,,,,,,,,,,,,,,,,
,HE 550 M,,H,EU,Steel,-,278,572,306,21,40,27,,,,,,,,,198000,19160,23.64,7.35,6923,1252,7933,1937,,,13520000,1554,354.4,,,,,,,,,,,,,,,,
,HE 600 M,,H,EU,Steel,-,285,620,305,21,40,27,,,,,,,,,237400,18980,25.55,7.22,7660,1244,8772,1930,,,15910000,1564,363.7,,,,,,,,,,,,,,,,
,HE 650 M,,H,EU,Steel,-,293,668,305,21,40,27,,,,,,,,,281700,18980,27.45,7.13,8433,1245,9657,1936,,,18650000,1579,373.7,,,,,,,,,,,,,,,,
,HE 700 M,,H,EU,Steel,-,301,716,304,21,40,27,,,,,,,,,329300,18800,29.32,7.01,9198,1237,10540,1929,,,21400000,1589,383,,,,,,,,,,,,,,,,
,HE 800 M,,H,EU,Steel,-,317,814,303,21,40,30,,,,,,,,,442600,18630,33.09,6.79,10870,1230,12490,1930,,,27780000,1646,404.3,,,,,,,,,,,,,,,,
,HE 900 M,,H,EU,Steel,-,333,910,302,21,40,30,,,,,,,,,570400,18450,36.7,6.6,12540,1222,14440,1929,,,34750000,1671,423.6,,,,,,,,,,,,,,,,
,HE 1000 M,,H,EU,Steel,-,349,1008,302,21,40,30,,,,,,,,,722300,18460,40.32,6.45,14330,1222,16570,1940,,,43020000,1701,444.2,,,,,,,,,,,,,,,,
,HE 100 B,,H,EU,Steel,-,20.4,100,100,6,10,12,,,,,,,,,449.5,167.3,41.6,2.53,89.91,33.45,104.2,51.42,,,3233,9.309,26.04,,,,,,,,,,,,,,,,
,HE 120 B,,H,EU,Steel,-,26.7,120,120,6.5,11,12,,,,,,,,,864.4,317.5,50.4,3.06,144.1,52.92,165.2,80.97,,,9125,13.94,34.01,,,,,,,,,,,,,,,,
,HE 140 B,,H,EU,Steel,-,33.7,140,140,7,12,12,,,,,,,,,1509,549.7,59.3,3.58,215.6,78.52,245.4,119.8,,,21965,20.2,42.96,,,,,,,,,,,,,,,,
,HE 160 B,,H,EU,Steel,-,42.6,160,160,8,13,15,,,,,,,,,2492,889.2,67.8,4.05,311.5,111.2,354,170,,,46667,31.24,54.25,,,,,,,,,,,,,,,,
,HE 180 B,,H,EU,Steel,-,51.2,180,180,8.5,14,15,,,,,,,,,3831,1363,76.6,4.57,425.7,151.4,481.4,231,,,91728,42.24,65.25,,,,,,,,,,,,,,,,
,HE 200 B,,H,EU,Steel,-,61.3,200,200,9,15,18,,,,,,,,,5696,2003,85.4,5.07,569.6,200.3,642.5,305.8,,,167060,59.59,78.08,,,,,,,,,,,,,,,,
,HE 220 B,,H,EU,Steel,-,71.5,220,220,9.5,16,18,,,,,,,,,8091,2843,94.3,5.59,735.5,258.5,827,393.9,,,289510,77.02,91.04,,,,,,,,,,,,,,,,
,HE 240 B,,H,EU,Steel,-,83.2,240,240,10,17,21,,,,,,,,,11260,3923,103.1,6.08,938.3,326.9,1053,498.4,,,476280,103.6,105.99,,,,,,,,,,,,,,,,
,HE 260 B,,H,EU,Steel,-,93,260,260,10,17.5,24,,,,,,,,,14920,5135,112.2,6.58,1148,395,1283,602.2,,,736280,125.7,118.44,,,,,,,,,,,,,,,,
,HE 280 B,,H,EU,Steel,-,103.1,280,280,10.5,18,24,,,,,,,,,19270,6595,121.1,7.09,1376,471,1534,717.6,,,1107200,145.3,131.36,,,,,,,,,,,,,,,,
,HE 300 B,,H,EU,Steel,-,117,300,300,11,19,27,,,,,,,,,25170,8563,129.9,7.58,1678,570.9,1869,870.1,,,1651000,187.4,149.08,,,,,,,,,,,,,,,,
,HE 320 B,,H,EU,Steel,-,126.7,320,300,11.5,20.5,27,,,,,,,,,30820,9239,138.2,7.57,1926,615.9,2149,939.1,,,2026200,229.2,161.34,,,,,,,,,,,,,,,,
,HE 340 B,,H,EU,Steel,-,134.2,340,300,12,21.5,27,,,,,,,,,36660,9690,146.5,7.53,2156,646,2408,985.7,,,2405600,262,170.9,,,,,,,,,,,,,,,,
,HE 360 B,,H,EU,Steel,-,141.8,360,300,12.5,22.5,27,,,,,,,,,43190,10140,154.6,7.49,2400,676.1,2683,1032,,,2829300,297.9,180.63,,,,,,,,,,,,,,,,
,HE 400 B,,H,EU,Steel,-,155.3,400,300,13.5,24,27,,,,,,,,,57680,10820,170.8,7.4,2884,721.3,3232,1104,,,3751100,361.1,197.78,,,,,,,,,,,,,,,,
,HE 450 B,,H,EU,Steel,-,171.1,450,300,14,26,27,,,,,,,,,79890,11720,191.4,7.33,3551,781.4,3982,1198,,,5177700,448.9,217.98,,,,,,,,,,,,,,,,
,HE 500 B,,H,EU,Steel,-,187.3,500,300,14.5,28,27,,,,,,,,,107200,12620,211.9,7.27,4287,841.6,4815,1292,,,6920700,549.9,238.64,,,,,,,,,,,,,,,,
,HE 550 B,,H,EU,Steel,-,199.4,550,300,15,29,27,,,,,,,,,136700,13080,232,7.17,4971,871.8,5591,1341,,,8743900,612.3,254.06,,,,,,,,,,,,,,,,
,HE 600 B,,H,EU,Steel,-,211.9,600,300,15.5,30,27,,,,,,,,,171000,13530,251.7,7.08,5701,902,6425,1391,,,10838000,679.6,269.96,,,,,,,,,,,,,,,,
,HE 650 B,,H,EU,Steel,-,224.8,650,300,16,31,27,,,,,,,,,210600,13980,271.2,6.99,6480,932.3,7320,1441,,,13219000,752,286.34,,,,,,,,,,,,,,,,
,HE 700 B,,H,EU,Steel,-,240.5,700,300,17,32,27,,,,,,,,,256900,14440,289.6,6.87,7340,962.7,8327,1495,,,15900000,841.7,306.38,,,,,,,,,,,,,,,,
,HE 800 B,,H,EU,Steel,-,262.3,800,300,17.5,33,30,,,,,,,,,359100,14900,327.8,6.68,8977,993.6,10230,1553,,,21617000,962.1,334.18,,,,,,,,,,,,,,,,
,HE 900 B,,H,EU,Steel,-,291.5,900,300,18.5,35,30,,,,,,,,,494100,15820,364.8,6.53,10980,1054,12580,1658,,,29196000,1154,371.28,,,,,,,,,,,,,,,,
,HE 1000 B,,H,EU,Steel,-,314,1000,300,19,36,30,,,,,,,,,644700,16280,401.5,6.38,12890,1085,14860,1716,,,37340000,1272,400.05,,,,,,,,,,,,,,,,
,IPE80,,I,EU,Steel,,,80,46,,,,,,,,,,,,0.8014,0.08489,,,20.03,3.691,,,,,,,,,,,,,,,,,,,,,,,
,IPE100,,I,EU,Steel,,,100,55,,,,,,,,,,,,1.71,0.1592,,,34.2,5.789,,,,,,,,,,,,,,,,,,,,,,,
,IPE120,,I,EU,Steel,,,120,64,,,,,,,,,,,,3.178,0.2767,,,52.96,8.646,,,,,,,,,,,,,,,,,,,,,,,
,IPE140,,I,EU,Steel,,,140,73,,,,,,,,,,,,5.412,0.4492,,,77.32,12.31,,,,,,,,,,,,,,,,,,,,,,,
,IPE160,,I,EU,Steel,,,160,82,,,,,,,,,,,,8.693,0.6831,,,108.7,16.66,,,,,,,,,,,,,,,,,,,,,,,
,IPE180,,I,EU,Steel,,,180,91,,,,,,,,,,,,13.17,1.009,,,146.3,22.16,,,,,,,,,,,,,,,,,,,,,,,
,IPE200,,I,EU,Steel,,,200,100,,,,,,,,,,,,19.43,1.424,,,194.3,28.47,,,,,,,,,,,,,,,,,,,,,,,
,IPE220,,I,EU,Steel,,,220,110,,,,,,,,,,,,27.72,2.049,,,252,37.25,,,,,,,,,,,,,,,,,,,,,,,
,IPE240,,I,EU,Steel,,,240,120,,,,,,,,,,,,38.92,2.836,,,324.3,47.27,,,,,,,,,,,,,,,,,,,,,,,
,IPE270,,I,EU,Steel,,,270,135,,,,,,,,,,,,57.9,4.199,,,428.9,62.2,,,,,,,,,,,,,,,,,,,,,,,
,IPE300,,I,EU,Steel,,,300,150,,,,,,,,,,,,83.56,6.038,,,557.1,80.5,,,,,,,,,,,,,,,,,,,,,,,
,IPE330,,I,EU,Steel,,,330,160,,,,,,,,,,,,117.7,7.881,,,713.1,98.52,,,,,,,,,,,,,,,,,,,,,,,
,IPE360,,I,EU,Steel,,,360,170,,,,,,,,,,,,162.7,10.43,,,903.6,122.8,,,,,,,,,,,,,,,,,,,,,,,
,IPE400,,I,EU,Steel,,,400,180,,,,,,,,,,,,231.3,13.18,,,1156,146.4,,,,,,,,,,,,,,,,,,,,,,,
,IPE450,,I,EU,Steel,,,450,190,,,,,,,,,,,,337.4,16.76,,,1500,176.4,,,,,,,,,,,,,,,,,,,,,,,
,IPE500,,I,EU,Steel,,,500,200,,,,,,,,,,,,482,21.42,,,1928,214.2,,,,,,,,,,,,,,,,,,,,,,,
,IPE550,,I,EU,Steel,,,550,210,,,,,,,,,,,,671.2,26.68,,,2441,254.1,,,,,,,,,,,,,,,,,,,,,,,
,IPE600,,I,EU,Steel,,,600,220,,,,,,,,,,,,920.8,33.87,,,3069,307.9,,,,,,,,,,,,,,,,,,,,,,,
